title,details_link,location,deadline,experience
Monitoring & Evaluation Officer,https://jobs.bdjobs.com/jobdetails/?id=1387621&ln=1&JobKeyword=Data Science,Bakshiganj,5 Aug 2025,At least 3 year(s)
Business Manager,https://jobs.bdjobs.com/jobdetails/?id=1387605&ln=1&JobKeyword=Data Science,"Jamalpur, Mymensingh, Satkhira",5 Aug 2025,At least 5 year(s)
Quality Control Assistant,https://jobs.bdjobs.com/jobdetails/?id=1387587&ln=1&JobKeyword=Data Science,Gazipur,30 Jul 2025,Na
"Officer, IT & Digital Marketing",https://jobs.bdjobs.com/jobdetails/?id=1387183&ln=1&JobKeyword=Data Science,Mohammadpur,16 Aug 2025,At least 3 year(s)
Digital Marketing Specialist,https://jobs.bdjobs.com/jobdetails/?id=1387103&ln=1&JobKeyword=Data Science,Uttara Sector 10,18 Aug 2025,At least 4 year(s)
Asst. Manager/ Sr. Executive (Sales & Support),https://jobs.bdjobs.com/jobdetails/?id=1387098&ln=1&JobKeyword=Data Science,Dhaka,18 Aug 2025,3 to 4 year(s)
Asst. Manager/ Sr. Executive (RE Business Development),https://jobs.bdjobs.com/jobdetails/?id=1387095&ln=1&JobKeyword=Data Science,Dhaka,18 Aug 2025,3 to 4 year(s)
N/A,N/A,N/A,N/A,N/A
"Senior Analyst, Business Intelligence, Data Science & Engineering",https://jobs.bdjobs.com/jobdetails/?id=1387361&ln=1&JobKeyword=Data Science,Dhaka,27 Jul 2025,2 to 4 year(s)
Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1386633&ln=1&JobKeyword=Data Science,Barishal Sadar,26 Jul 2025,At least 1 year(s)
কম্পিউটার অপারেটর,https://jobs.bdjobs.com/jobdetails/?id=1387166&ln=1&JobKeyword=Data Science,Khilgaon,29 Jul 2025,1 to 2 year(s)
কম্পিউটার টেকনিশিয়ান,https://jobs.bdjobs.com/jobdetails/?id=1383185&ln=1&JobKeyword=Data Science,Chattogram Sadar,7 Aug 2025,1 to 3 year(s)
Computer Operator (Graphics Design and Video Editor),https://jobs.bdjobs.com/jobdetails/?id=1385273&ln=1&JobKeyword=Data Science,Laksam,13 Aug 2025,2 to 5 year(s)
