title,details_link,company_name,company_logo,location,deadline,experience
"Junior Instructor/Instructor, Computer Science & Technology",https://jobs.bdjobs.com/jobdetails/?id=1386160&ln=1&JobKeyword=Data Science,UCEP Bangladesh,//corporate.bdjobs.com/logos/34048_4.png,Gazipur,26 Jul 2025,At least 3 year(s)
Electrical Estimator,https://jobs.bdjobs.com/jobdetails/?id=1386169&ln=1&JobKeyword=Data Science,ATPL Dhaka,//corporate.bdjobs.com/logos/116649_7.png,Anywhere in Bangladesh,15 Aug 2025,At least 3 year(s)
Team Leader / Assistant Manager - Quality Controller,https://jobs.bdjobs.com/jobdetails/?id=1386726&ln=1&JobKeyword=Data Science,A Reputed Company,N/A,Anywhere in Bangladesh,16 Aug 2025,Na
Electrical Engineer,https://jobs.bdjobs.com/jobdetails/?id=1386448&ln=1&JobKeyword=Data Science,Premier Power Solutions,//corporate.bdjobs.com/logos/128419_3.png,Dhaka,31 Jul 2025,Na
Project Officer,https://jobs.bdjobs.com/jobdetails/?id=1386755&ln=1&JobKeyword=Data Science,Breaking the Silence (BTS),//corporate.bdjobs.com/logos/30880_2.png,Ukhia,24 Jul 2025,At least 3 year(s)
Executive (Sales & Marketing),https://jobs.bdjobs.com/jobdetails/?id=1386700&ln=1&JobKeyword=Data Science,A reputed trading company,N/A,Uttara,16 Aug 2025,At least 3 year(s)
Junior Instructor,https://jobs.bdjobs.com/jobdetails/?id=1386078&ln=1&JobKeyword=Data Science,UCEP Bangladesh,//corporate.bdjobs.com/logos/34048_4.png,Dhaka,26 Jul 2025,At least 2 year(s)
Marketing Executive (Fabric),https://jobs.bdjobs.com/jobdetails/?id=1386174&ln=1&JobKeyword=Data Science,JJ CORPORATION,//corporate.bdjobs.com/logos/130544_1.png,Uttara,15 Aug 2025,At least 3 year(s)
Product Manager,https://jobs.bdjobs.com/jobdetails/?id=1379370&ln=1&JobKeyword=Data Science,Axiler,N/A,Dhaka,20 Jul 2025,3 to 7 year(s)
কম্পিউটার টেকনিশিয়ান,https://jobs.bdjobs.com/jobdetails/?id=1383185&ln=1&JobKeyword=Data Science,HSB Corporation,N/A,Chattogram Sadar,7 Aug 2025,1 to 3 year(s)
Computer Operator (Graphics Design and Video Editor),https://jobs.bdjobs.com/jobdetails/?id=1385273&ln=1&JobKeyword=Data Science,Lit Health Care Hospital Pvt. Ltd.,//corporate.bdjobs.com/logos/127172_0.jpg,Laksam,13 Aug 2025,2 to 5 year(s)
Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1385630&ln=1&JobKeyword=Data Science,Travel Maker,N/A,GULSHAN 1,25 Jul 2025,1 to 5 year(s)
Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1385514&ln=1&JobKeyword=Data Science,Banglay IELTS & Immigration Center,N/A,Uttara Sector 4,20 Jul 2025,1 to 2 year(s)
Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1384595&ln=1&JobKeyword=Data Science,Shiny Steps,N/A,Sylhet,25 Jul 2025,Na
Data Entry / Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1383646&ln=1&JobKeyword=Data Science,Runway International,//corporate.bdjobs.com/logos/95457_1.png,Purana Paltan,8 Aug 2025,Na
Data Entry Operator (Day/Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1380879&ln=1&JobKeyword=Data Science,BD MERIT,N/A,Khilkhet,31 Jul 2025,Na
Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1378302&ln=1&JobKeyword=Data Science,INNOV Tech,N/A,Tongi,23 Jul 2025,Na
Computer Operator,https://jobs.bdjobs.com/jobdetails/?id=1377782&ln=1&JobKeyword=Data Science,NOVOCARE HOSPITALS,//corporate.bdjobs.com/logos/150040_0.png,Dhaka,22 Jul 2025,At least 3 year(s)
"Asst. Manager/ Manager - Sales & Marketing (MDF, Plywood and Particle Board)",https://jobs.bdjobs.com/jobdetails/?id=1383070&ln=1&JobKeyword=Data Science,Mohubor Rahman Particle Mills (Pvt.) Ltd.,N/A,Anywhere in Bangladesh,31 Jul 2025,2 to 4 year(s)
Technical Consultants (Digital Governance),https://jobs.bdjobs.com/jobdetails/?id=1383258&ln=1&JobKeyword=Data Science,Tiller,N/A,"Chapainawabganj, Dhaka, Gaibandha, Sirajganj, Charghat",29 Jul 2025,At least 8 year(s)
Data Entry Operator,https://jobs.bdjobs.com/jobdetails/?id=1383343&ln=1&JobKeyword=Data Science,Univision IT,//corporate.bdjobs.com/logos/163419_0.png,Uttara,7 Aug 2025,1 to 2 year(s)
Science Teacher STD VI,https://jobs.bdjobs.com/jobdetails/?id=1386347&ln=1&JobKeyword=Data Science,Yale International School,N/A,Uttara Sector 3,31 Jul 2025,2 to 3 year(s)
"Instructor (Science-Physics, Chemistry & Math) (BRAC Agricultural Technology Institute (BATI))",https://jobs.bdjobs.com/jobdetails/?id=1385881&ln=1&JobKeyword=Data Science,BRAC Enterprises,//corporate.bdjobs.com/logos/38134_1.png,Sherpur,26 Jul 2025,At least 1 year(s)
Subject Teacher (Computer Science),https://jobs.bdjobs.com/jobdetails/?id=1385385&ln=1&JobKeyword=Data Science,Apple Tree International School,N/A,Anywhere in Bangladesh,13 Aug 2025,At least 3 year(s)
"Teacher (English, Math & Science)",https://jobs.bdjobs.com/jobdetails/?id=1383355&ln=1&JobKeyword=Data Science,Safe Education Family,//corporate.bdjobs.com/logos/43108_1.png,"Khilgaon, Rajarbagh Police Line",7 Aug 2025,Na
Science Lab Technician (Supervisor/In-Charge),https://jobs.bdjobs.com/jobdetails/?id=1382430&ln=1&JobKeyword=Data Science,"Baseerah International School, Dhaka",//corporate.bdjobs.com/logos/150594_0.png,Dhaka,6 Aug 2025,At least 2 year(s)
Science Teacher (High School),https://jobs.bdjobs.com/jobdetails/?id=1381609&ln=1&JobKeyword=Data Science,Canadian Trillinium International School,N/A,"GULSHAN 2, Malibag Chowdhuripara",2 Aug 2025,3 to 7 year(s)
"Teacher -EY/PY (Math, Science, English)",https://jobs.bdjobs.com/jobdetails/?id=1378950&ln=1&JobKeyword=Data Science,Premier School Dhaka,N/A,Malibagh,25 Jul 2025,3 to 5 year(s)
"Teacher - Economics, Computer Science and Bangladesh Studies",https://jobs.bdjobs.com/jobdetails/?id=1376744&ln=1&JobKeyword=Data Science,Oxford International School,//corporate.bdjobs.com/logos/22451_1.png,"Gulshan, Dhanmondi 27",19 Jul 2025,At least 3 year(s)
Internship-HR (Females),https://jobs.bdjobs.com/jobdetails/?id=1386057&ln=1&JobKeyword=Data Science,Simcon Construction Admixture Company,N/A,Anywhere in Bangladesh,31 Jul 2025,Na
Data Enumerator,https://jobs.bdjobs.com/jobdetails/?id=1386918&ln=1&JobKeyword=Data Science,Handicap International (humanity & Inclusion) in Bangladesh,N/A,"Teknaf, Ukhia",26 Jul 2025,Na
Junior Executive - Data Entry,https://jobs.bdjobs.com/jobdetails/?id=1386668&ln=1&JobKeyword=Data Science,Styllent Global PTE Limited,N/A,Uttara,27 Jul 2025,Na
Executive - Crewing Documentation / Data Entry,https://jobs.bdjobs.com/jobdetails/?id=1386343&ln=1&JobKeyword=Data Science,MariAid Ltd,N/A,Uttara,16 Aug 2025,Na
Sales Specialist (Property Advisor & Senior Property Advisor),https://jobs.bdjobs.com/jobdetails/?id=1386276&ln=1&JobKeyword=Data Science,Apex Data Management & IT Ltd,//corporate.bdjobs.com/logos/111056_3.png,Banani,7 Aug 2025,1 to 4 year(s)
Data Entry Operator (Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1385421&ln=1&JobKeyword=Data Science,Nexbit LTD,//corporate.bdjobs.com/logos/171782_1.png,"Uttara West, Uttara Sector 14",14 Aug 2025,Na
"Trainee, Business Development",https://jobs.bdjobs.com/jobdetails/?id=1385568&ln=1&JobKeyword=Data Science,Data Edge Limited,N/A,Baridhara J Block,31 Jul 2025,Na
Executive/Sr. Executive - Document Control & Data Operations,https://jobs.bdjobs.com/jobdetails/?id=1385480&ln=1&JobKeyword=Data Science,Galaxy Bangladesh Group,//corporate.bdjobs.com/logos/25467_1.png,Dhaka,1 Aug 2025,2 to 6 year(s)
IT Support & Network Specialist (Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1385402&ln=1&JobKeyword=Data Science,Apex Data Management & IT Ltd,//corporate.bdjobs.com/logos/111056_1.png,Banani,31 Jul 2025,3 to 5 year(s)
AI/ML Engineer,https://jobs.bdjobs.com/jobdetails/?id=1385070&ln=1&JobKeyword=Data Science,Data Edge Limited,N/A,Baridhara,19 Jul 2025,Na
Data Entry Officer,https://jobs.bdjobs.com/jobdetails/?id=1384860&ln=1&JobKeyword=Data Science,A Well Reputed Company,N/A,Gazipur,11 Aug 2025,Na
Data Administrator,https://jobs.bdjobs.com/jobdetails/?id=1384693&ln=1&JobKeyword=Data Science,International Committee of the Red Cross,//corporate.bdjobs.com/logos/23192_2.png,Dhaka,27 Jul 2025,At least 2 year(s)
Executive - Sales Support / Product Development,https://jobs.bdjobs.com/jobdetails/?id=1383118&ln=1&JobKeyword=Data Science,US-Bangla OTAs,N/A,Banani,7 Aug 2025,1 to 2 year(s)
Supply Chain Analyst,https://jobs.bdjobs.com/jobdetails/?id=1383249&ln=1&JobKeyword=Data Science,Advanced Chemical Industries PLC (ACI),//corporate.bdjobs.com/logos/18954_3.png,Tejgaon Industrial Area,19 Jul 2025,1 to 3 year(s)
Executive - Data Analyst,https://jobs.bdjobs.com/jobdetails/?id=1382933&ln=1&JobKeyword=Data Science,US Bangla OTAs,N/A,Banani,7 Aug 2025,1 to 3 year(s)
Embedded Routing Programmer,https://jobs.bdjobs.com/jobdetails/?id=1382512&ln=1&JobKeyword=Data Science,"Shanghai Baud Data Communication Co., Ltd. (BDCOM)",//corporate.bdjobs.com/logos/106937_2.png,Dhaka,24 Jul 2025,At least 2 year(s)
Analyst - Data Solutions,https://jobs.bdjobs.com/jobdetails/?id=1382730&ln=1&JobKeyword=Data Science,SEBPO,//corporate.bdjobs.com/logos/22638_5.png,Mohakhali,31 Jul 2025,Na
Business Development Analyst (Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1380825&ln=1&JobKeyword=Data Science,Apex Data Management & IT Ltd,//corporate.bdjobs.com/logos/111056_1.png,Banani,31 Jul 2025,1 to 3 year(s)
Sales Intern,https://jobs.bdjobs.com/jobdetails/?id=1380175&ln=1&JobKeyword=Data Science,Apex Data Management & IT Ltd,//corporate.bdjobs.com/logos/111056_2.png,Banani,29 Jul 2025,Na
Full Stack .NET Developer,https://jobs.bdjobs.com/jobdetails/?id=1380018&ln=1&JobKeyword=Data Science,MediaSoft Data Systems Ltd.,//corporate.bdjobs.com/logos/21780_2.png,Kawran Bazar,29 Jul 2025,3 to 5 year(s)
"Asst. Manager/ Manager, Customer Experience",https://jobs.bdjobs.com/jobdetails/?id=1379948&ln=1&JobKeyword=Data Science,Apex Data Management & IT Ltd,//corporate.bdjobs.com/logos/111056_1.png,Banani,29 Jul 2025,6 to 10 year(s)
"Lead, Customer Experience",https://jobs.bdjobs.com/jobdetails/?id=1379934&ln=1&JobKeyword=Data Science,Apex Data Management & IT Ltd,//corporate.bdjobs.com/logos/111056_1.png,Banani,29 Jul 2025,4 to 5 year(s)
Computer Operator/ Data Entry Operator,https://jobs.bdjobs.com/jobdetails/?id=1379120&ln=1&JobKeyword=Data Science,J.I. Islamic Science & Technology Institute.,//corporate.bdjobs.com/logos/144804_1.png,Dhaka,25 Jul 2025,At least 1 year(s)
